"Variable","Media","Desv_Est","Minimo","Maximo","Moran_I"
"Precipitacion (mm)",68.9592746734619,44.6088852314624,27.6510028839111,212.916488647461,0.826267056003927
"Altitud SRTM (m)",1337.28563946315,920.412488377157,16.776762008667,3761.01391601562,NA
"Temperatura (C)",19.8481626965013,1.94849094486251,15.8417844772339,24.8399768559574,NA
"Radiacion (MJ/m2)",15.2716035801932,0.196169282972058,14.2661188062805,15.4127683639526,NA
"Residuales Directo",0.000000000000000150772251826327,21.1640268664189,-28.7914110780206,74.8552536413192,0.654633192369161
"Residuales AFM",0.000000000000000935585934122177,24.8130807899863,-40.3096463713252,91.8834866426163,0.597664815509714
